title,description,email,url,thumbnail,Keyword1,Keyword2,Keyword3
Aggie Anglers,"We aim to grow the sport of bass fishing by competing in college tournaments on a national and state level, and aiding in community service opportunities within our community.",fishaggieanglers@gmail.com,https://getinvolved.tamu.edu/org/anglers,https://getinvolved.tamu.edu/images/tamu-logo-white.png,Community,Tournaments,Competing
The Aggie Arthouse,"We are a film society founded on the TAMU Campus. Our mission is to organize screenings of foreign, independent, and classic cinema and market the events to the greater student body of Texas A&M to bring together an inclusive and diverse community of movie lovers. In doing so, we hope to broaden viewers' perspectives and encourage conversation amongst peers through exposing them to wide variety of eras, countries, languages, cultures, genres and attitudes right on our own campus.",theaggiearthouse@gmail.com,https://getinvolved.tamu.edu/org/theaggiearthouse,https://getinvolved.tamu.edu/storage/organizations/1796/images/icon.png,Campus,Wide,Countries
Aggie Artificial Intelligence Society,,,https://getinvolved.tamu.edu/org/aais,https://getinvolved.tamu.edu/images/tamu-logo-white.png,Society,Nan,Intelligence
Aggie Aspiring Educators,The purpose of this organization is to provide up to date information about the world of education. We have various speakers ranging from current student teachers to professionals in the field of education. We also bring in many of our own faculty at A&M to provide information about the College of Education. We work with the community on many different occasions allowing for our members to gain more experience with children.,tstaaetamu@gmail.com,https://getinvolved.tamu.edu/org/aae,https://getinvolved.tamu.edu/images/tamu-logo-white.png,Education,Provide,Information
Aggie Athletic Trainers' Association,"The purpose of this organization shall be to broaden the student athletic trainers knowledge, to identify job opportunities, to encourage the education of the general public concerning athletic training, and to serve as a community service.",aggieat@gmail.com,https://getinvolved.tamu.edu/org/aata,https://getinvolved.tamu.edu/images/tamu-logo-white.png,Athletic,Trainers,Training
Aggie Babes,"As BABES, we strive to create a diversified & inclusive sisterhood for students from all different walks of life. Through this, we strive to allow our members to make life-long lasting friends, while giving back to our Aggie Community and bonding. When you're an Aggie Babe you're making friends for life; from studying to completing service, and lots of socializing. Since Babes are the Best At Being Excellent, we try to convey the Aggie core values in everything we do.",emilybroom@tamu.edu,https://getinvolved.tamu.edu/org/aggie-babes,https://getinvolved.tamu.edu/storage/organizations/131/images/icon.jpeg,Aggie,Life,Babes
Aggie Ballet Company,"Aggie Ballet Company is the premier Texas A&M student-run ballet company that performs classical ballet, modern, and contemporary dance. Our organization provides weekly ballet and pointe classes with student-teachers or local professionals, along with occasional master classes. ABC's annual spring show embraces a wide variety of works, including pieces choreographed by our very own members. Our organization has continued to gain talented dancers and rising choreographers by creating a supportive atmosphere to further students' dance eduction.",aggieballetco@gmail.com,https://getinvolved.tamu.edu/org/aggieballetco,https://getinvolved.tamu.edu/storage/organizations/132/images/icon.jpeg,Ballet,Company,Aggie
Aggie Bandsmen,To develop bandsmen who are well-educated leaders of character that represent Texas A&M University honorably and respectfully on and off the drill field.,gburleson@tamu.edu,https://getinvolved.tamu.edu/org/ftab,https://getinvolved.tamu.edu/images/tamu-logo-white.png,Bandsmen,University,Respectfully
Aggie Barbeque Club,The Aggie Barbeque Club seeks to act as a medium in which members of the A&M community come together to cultivate and embrace the culture of Texas barbeque.,aggiebarbequeclub@gmail.com,https://getinvolved.tamu.edu/org/aggiebarbequeclub,https://getinvolved.tamu.edu/images/tamu-logo-white.png,Barbeque,Aggie,Seeks
Aggie Belles,"Aggie Belles is a women's organization that unites and develops female leaders across campus through service opportunities, philanthropy and social events.",aggiebellesofficers@gmail.com,https://getinvolved.tamu.edu/org/aggie-belles,https://getinvolved.tamu.edu/images/tamu-logo-white.png,Belles,Aggie,Women
Aggie Black Male Connection,"The mission of ABMC is to develop a sense of mattering and connection to the institution, work together toward a common purpose, and serve as role models and build community with other Black males on campus.",coo.tamu.abmc@gmail.com,https://getinvolved.tamu.edu/org/abmc,https://getinvolved.tamu.edu/images/tamu-logo-white.png,Black,Connection,Work
Aggie Blacksmithing Club,"Our mission is to practice and educate individuals in the field of blacksmithing and metalworking. We aim to teach individuals to safely and effectively learn the art of blacksmithing. Aggie Blacksmithing hosts workshops and provides space and resources for students to practice working with metal, as well as ample opportunities to network within the blacksmithing community and attend numerous blacksmithing-related events.",,https://getinvolved.tamu.edu/org/blacksmithing,https://getinvolved.tamu.edu/images/tamu-logo-white.png,Blacksmithing,Aggie,Practice
Aggie Blades,Aggie Blades aims to train students in the sport of axe throwing to expand the current community into Texas A&M University. Our goal is to engage more people in this rising sport while creating a new outlet for students.,aggieblades@gmail.com,https://getinvolved.tamu.edu/org/aggie-blades,https://getinvolved.tamu.edu/storage/organizations/1349/images/icon.png,Aggie,Sport,Blades
Aggie Blossoms,"Our mission as an organization consists of building strong women through the promotion of our five pillars: Leadership, Sisterhood, Scholarship, Personal Development, and Philanthropy. We provide a comfortable and open environment for each woman to thrive as a leader, creating long lasting bonds through fun and social events. Each member of Aggie Blossoms must exhibit our five pillars as well as the Texas A&M Core Values on an every day basis.",aggieblossoms@gmail.com,https://getinvolved.tamu.edu/org/aggieblossoms,https://getinvolved.tamu.edu/images/tamu-logo-white.png,Aggie,Blossoms,Pillars
Aggie Business Brothers,"Being a premier professional men's organization on campus, we strive to introduce a passion for professionalism that will lead members to successful career opportunities. We will place an emphasis on brotherhood and unity in order to create a culture of integrity and excellence by bringing together members with a shared love for our university and our core values. *OPEN TO ALL MAJORS*",aggiebusinessbrothers@gmail.com,https://getinvolved.tamu.edu/org/abb,https://getinvolved.tamu.edu/storage/organizations/138/images/icon.jpeg,Members,Create,Lead
Aggie Business Kings,"We strive to turn business oriented students, into experienced business professionals by contributing in team building activities, business events, and sharing useful connections within our organization. We want to make a difference in the community, meet like minded business men and create a business brotherhood that can help mold the upcoming businessmen/ entrepreneurs of the future. *OPEN TO ALL MAJORS*",aggiebusinesskings@gmail.com,https://getinvolved.tamu.edu/org/aggiebusinesskings,https://getinvolved.tamu.edu/images/tamu-logo-white.png,Business,Want,Create
Aggie Camping,"""To enrich the lives of students through shared experiences in nature. Aggie Camping strives to create a supportive environment for students to join together and experience friendship and the outdoors. We bring together a strong group of like-minded and environmentally conscious individuals. We promote conservation and sustainability for the environment.""",aggiecamping@gmail.com,https://getinvolved.tamu.edu/org/aggiecamping,https://getinvolved.tamu.edu/images/tamu-logo-white.png,Aggie,Camping,Environment
Aggie Classics,"Aggie Classics seek to provide a comforting and welcoming environment to develop well-rounded women equipped to make an impact at Texas A&M and beyond. We will accomplish this through our four pillars of community, philanthropy, integrity and sisterhood.",aggieclassicstamu@gmail.com,https://getinvolved.tamu.edu/org/aggieclassics,https://getinvolved.tamu.edu/images/tamu-logo-white.png,Aggie,Classics,Women
Aggie Club of Engineers,"Aggie Club of Engineers is a social, service, and leadership organization strongly rooted in academics. ACE is based on the premise that bringing together student leaders from all levels and disciplines of Engineering will promote success. It is founded on the Ideal that engineers should not only develop strongly in academics but also be of strong character. The purpose of Aggie Club of Engineers shall be to develop our members as successful Aggies and leaders through a primary emphasis on academic success and character development while also improving Aggieland through focuses on service.",tamuacepresident@gmail.com,https://getinvolved.tamu.edu/org/ace,https://getinvolved.tamu.edu/images/tamu-logo-white.png,Engineering,Technical,Innovation
Aggie Coding Club,"The Aggie Coding Club exists to help members build skills and find opportunities in the computer science industry through company talks and recruiting opportunities, workshops, member-led student projects, and organization socials.",aggiecodingclub@gmail.com,https://getinvolved.tamu.edu/org/aggiecodingclub,https://getinvolved.tamu.edu/storage/organizations/144/images/icon.jpeg,Aggie,Coding,Opportunities
Aggie Competitive Programming Club,"Aggie Competitive Programming Club serves the student body of Texas A&M by providing members with the opportunity to learn, practice, and teach others competitive programming techniques and algorithmic problem-solving skills. The organization fosters a drive for healthy competition and a love for learning among its members.",contact@tamuacpc.com,https://getinvolved.tamu.edu/org/acpc,https://getinvolved.tamu.edu/storage/organizations/145/images/icon.jpeg,Programming,Competitive,Members
Aggie Cricket Club,"To promote and encourage the understanding and playing of the sport of cricket in Texas A&M, thereby adding to the international diversity of the Aggies. To bring together all cricket enthusiasts in the university through the club and encourage them to bond over the sport. To ensure that all cricket matches organized by and within the Club are conducted in accordance with the Laws of Cricket and that the traditions and spirit of the sport are upheld by all Members. To work towards our final goal of making Cricket a recognized and popular sport at Texas A&M, and forming competitive cricket teams that regularly play other inter-university matches and tournaments.",acc@acc.tamu.edu,https://getinvolved.tamu.edu/org/acc,https://getinvolved.tamu.edu/images/tamu-logo-white.png,Law,Traditions,Outreach
Aggie Data Science Club,"The Aggie Data Science Club (ADSC) is a student-run organization at Texas A&M University where students of any major can grow their skills and passion in data science and machine learning. Our community fosters students to engage in discussions, share ideas, and build connections through networking.",aggiedatascience@gmail.com,https://getinvolved.tamu.edu/org/adsc,https://getinvolved.tamu.edu/images/tamu-logo-white.png,Science,Data,Aggie
Aggie Doc Musicians: Rhythms and Remedies,"To connect medical school students, faculty, staff, undergraduates, and other medical students to music through service and community events.",,https://getinvolved.tamu.edu/org/2561,https://getinvolved.tamu.edu/images/tamu-logo-white.png,Medical,Undergraduates,Staff
Aggie Eagle Post,"To provide a unit for Eagle Scout, Gold Award, Quartermaster, and Summit recipients in the Corps of Cadets to continue the development of character and leadership skills learned leading to the previously mentioned awards.",sr.aggieeaglepost@gmail.com,https://getinvolved.tamu.edu/org/aep,https://getinvolved.tamu.edu/storage/organizations/148/images/icon.png,Military,Leadership,Training
Aggie Eco-Representatives,The Aggie Eco-Reps are a student-run organization devoted to spreading sustainability on campus. Our mission is to provide students with the education and opportunity to promote and continue sustainability.,aer@reslife.tamu.edu,https://getinvolved.tamu.edu/org/aggieecoreps,https://getinvolved.tamu.edu/storage/organizations/149/images/icon.jpeg,Sustainability,Eco,Aggie
Aggie Emeralds,"Aggie Emeralds seek to serve our campus and outside communities while also bringing together women of all different backgrounds. Emeralds consist of inspiring, passionate and motivated women, and we pride ourselves on upholding our four core values: sisterhood, integrity, empowerment, and compassion.",emeralds.president@gmail.com,https://getinvolved.tamu.edu/org/aggieemeralds,https://getinvolved.tamu.edu/storage/organizations/150/images/icon.jpeg,Emeralds,Women,Aggie
Aggie Financial Womens Association,"Our mission is to elevate women's role in finance by empowering women to become future leaders through networking, leadership, and skill development opportunities.",AggieFWA@gmail.com,https://getinvolved.tamu.edu/org/afwa,https://getinvolved.tamu.edu/storage/organizations/1316/images/icon.jpeg,Women,Womens,Future
Aggie Fish Club,"Aggie Fish Club is an organization dedicated to the involvement of freshmen in Texas A&M University. Through weekly meetings, influential speakers, committee projects, Buddy Huddle activities, and leadership retreats, the freshmen are provided opportunities to grow as individuals, students, and Aggie leaders. Aggie Fish Club serves as a support system to the freshmen and encourages development through positive reinforcement, mentors, and friendship. A.F.C. also focuses on the importance of Texas A&M history and tradition, while giving freshmen the opportunity to experience the Aggie Spirit.",aggiefishclub@gmail.com,https://getinvolved.tamu.edu/org/afc,https://getinvolved.tamu.edu/storage/organizations/39/images/icon.jpeg,Aggie,Freshmen,Fish
Aggie Forensic Investigative Science Organization,"To spread knowledge to those with an interest in Forensic Science.This organization will provide hands on experiences in an effort to create a better understanding of Forensic Science in all fields through guest speakers, involved activities and the creation of connections with those in the industry.",aggieafis@gmail.com,https://getinvolved.tamu.edu/org/afiso,https://getinvolved.tamu.edu/storage/organizations/152/images/icon.jpg,Forensic,Science,Understanding
Aggie French Club,"The Aggie French Club aims to promote French Culture and language at Texas A&M University. From giving members opportunities to socialize and become involved in various activities related to French culture, to fostering new and exciting international relationships, the AFC intrigues the outward-looking mind. As a an organization, the AFC creates opportunities for any Texas A&M students to interact with students in the field French studies, language, and culture and regroup around a common interest. Further, the facilitation of linguistic and cultural exchange and appreciation via the club association is tantamount to the club's goals. Each meeting and event hosted by the club provides a forum devoted to speaking and learning the French language as well as proctoring intercultural exchange and the promotion of a greater appreciation for the French language and culture.",aggiefrancaisclub@gmail.com,https://getinvolved.tamu.edu/org/aggiefrenchclub,https://getinvolved.tamu.edu/storage/organizations/153/images/icon.jpg,French,Culture,Language
Aggie Gems,"The mission of this organization is to provide a fun, social environment while also promoting sisterhood, service, and leadership on Texas A&M's campus and the surrounding community through various philanthropy events, social events, and volunteer opportunities.",aggiegems.president@gmail.com,https://getinvolved.tamu.edu/org/aggie-gems,https://getinvolved.tamu.edu/storage/organizations/154/images/icon.jpeg,Social,Events,Volunteer
Aggie Gentlemen of Integrity,"To strengthen the integrity of its members by emphasizing the demand for strong moral principles, allowing the members to grow through integrity speakers and representing a unifying theme of honesty. To promote the importance of accountability in order to create a more trustworthy and responsible group of men to further spread the Core Values of Texas A&M University. To promote a brotherhood in which members encourage fellow members to be better tomorrow than they were today. Building positive relationships and strong ties that will carry on throughout their tenure here at TAMU, and long after graduation. To be of service to Texas A&M University and the community by selflessly volunteering our time and effort to others and to progress our efforts beyond the community to the greater good with help of other Aggies.",tamuagi.president@gmail.com,https://getinvolved.tamu.edu/org/agi,https://getinvolved.tamu.edu/images/tamu-logo-white.png,Members,Integrity,University
Aggie Girl Scouts,"Aggie Girl Scouts(AGS) is an on-campus Girl Scout organization, recognized by both Girl Scouts of the U.S.A. and Texas A&M University. AGS members are Girl Scout volunteers. Through programming and community outreach Aggie Girl Scouts will fulfill the purpose of Girl Scouts of the USA: To inspire girls with highest levels of courage, confidence, and character, who make the world a better place. All individuals are welcome, you do not need to have previously been a Girl Scout. Our focus is on the enrichment and development of girls into women.",denisewoodard@tamu.edu,https://getinvolved.tamu.edu/org/aggiegirlscouts,https://getinvolved.tamu.edu/images/tamu-logo-white.png,Girl,Scouts,Aggie
Aggie Golden Arrows,"Aggie Arrows is a women's organization that strives to unite diverse women through passion, empowerment, selfless-service, and sisterhood!",aggiegoldenarrows@gmail.com,https://getinvolved.tamu.edu/org/aggiegoldenarrows,https://getinvolved.tamu.edu/images/tamu-logo-white.png,Women,Arrows,Aggie
Aggie Guide-Dogs and Service-Dogs,"The purpose of this student organization is to educate about, fundraise for, and promote the training and use of guide dogs and service dogs and to increase awareness about how these animals help the individuals with disabilities who use them throughout the campus, community and beyond.",aggieguideandservicedogs@gmail.com,https://getinvolved.tamu.edu/org/ags,https://getinvolved.tamu.edu/storage/organizations/158/images/icon.jpeg,Dogs,Use,Service
Aggie Habitat for Humanity,"Campus Chapter of Habitat for Humanity that performs three main functions: building homes for families in need, educating the Texas A&M campus and community, and fundraising to support the work of Habitat for Humanity in College Station and around the world. Please visit our webpage, www.aggielandhabitat.org, for more information!",info@aggiehabitat.org,https://getinvolved.tamu.edu/org/aggiehabitat,https://getinvolved.tamu.edu/storage/organizations/159/images/icon.jpeg,Humanity,Habitat,Campus
Aggie Icers,"The Aggie Icers is the marketing organization for the Texas A&M Men's Ice Hockey Team. We proudly support and promote the team on campus, at the games, and throughout the College Station/Bryan area. We find importance in raising awareness of upcoming games and events hosted by the team located at the Spirit Ice Arena on Holleman.",tamuaggieicers@gmail.com,https://getinvolved.tamu.edu/org/aggie-icers,https://getinvolved.tamu.edu/storage/organizations/162/images/icon.jpeg,Team,Icers,Ice
Aggie Internship Club,,,https://getinvolved.tamu.edu/org/2657,https://getinvolved.tamu.edu/images/tamu-logo-white.png,Nan,Internship,Aggie
Aggie Investment Club,*To teach students how to think about investing *To equip members with the tools and knowledge to grow their wealth independently *To prepare students for a career in a high-finance role *To create a community for students to build life-long relationships,tamuaic@gmail.com,https://getinvolved.tamu.edu/org/aic,https://getinvolved.tamu.edu/images/tamu-logo-white.png,Wealth,Investing,Build
Aggie Keys,"To build a strong empowered sisterhood of unique, well-rounded women that are a representation of compassion, integrity, professionalism, and service.",theaggiekeys@gmail.com,https://getinvolved.tamu.edu/org/aggie-keys,https://getinvolved.tamu.edu/storage/organizations/164/images/icon.jpeg,Women,Unique,Strong
"Aggie Knitting, Crafting, and More","Making the world a warmer place one stitch at a time by using knitting and crafting to make scarfs, blankets, and other crafty products to share with the community.",,https://getinvolved.tamu.edu/org/165,https://getinvolved.tamu.edu/images/tamu-logo-white.png,Crafting,Knitting,World
